original_sentence,positive_reframing
"My heartbeat has been on 10 lately! Clearly, school is not good for my health.",I should take a break to improve my health.
"Not even funny how bad business is going to go tomorrow , why didnt i start studying earlier ?",Time to learn to plan better and start my assignments sooner!
Why not ask mom how is she doing when baby it's sick The Mom Still Matter .out,It is better to ask a mom how she is doing when her baby is sick.
"Got all this coloring due tomorrow "" this is our daycare! Lmbo","I have colouring due tomorrow, that's really not the worst thing in the world."
In a stupidly bad mood. Only halfway through the work day and I've come close to quitting and plotting murder.,Only halfway through the work day and I've come close to quitting which is bad.
when you missed almost 2 weeks of school and exams start in a week and youre still behind,"I need to prepare for the exam that starts in a week, as I have been without classes for almost 2 weeks and this can harm me."
out essential WORKERS gonna say to hell with SocialDistancing and start swinging on some mutha fuckas before this is all over. I see it a mile away dude What a mess we in y'all. Ridiculous Five guys walked off the plant after that fuckery this morning.,Essential workers are finding it hard at the moment but everyone is so thankful for all the good they are doing in the country.
Mad at myself for waiting till the last minute its gonna be a busy day,Mad at myself for waiting till the last minute hope it don't happen next time.
Desperately trying to keep calm and relaxed. Nothing helps. Still feel the need to punch them in the face. justfuckoff nothanks,I hope I can calm myself down so that I can channel all the rage into my work and studies.
Never been so tired in my life and it's only the first week! Gunna be the toughest year ever,This week has been very tiring but I'm sure this year will be amazing for me!
another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted,"College is a lot of work, but I am thankful that I have the opportunity to go."
That stupid social studies PowerPoint took me an hour and a half and I've been doing other homework the whole rest of the night,"The social studies PowerPoint took me an hour and a half, and I've been doing other homework the whole rest of the night, but I am happy that I finished it at last."
Worst day of my life right now. Car died. What else can happen to me right now?!,"I am now in need of a new car, im sure tomorow will be better"
Got a $2000 bill for GST from CRA when I closed my business account (and business) 5 years ago. I know it's an error but fuck,Just received a $2000 bill from when I closed my business account. I'm sure it's a mistake so I won't even stress it.
Wishes things could sort their selves out toomuch notime tired decisions Ahhhh! All with lots of hash tags!,Next week will be my time to sort out all my unfinished tasks.
"After breaking down 4 times today, I should just accept an F on all assignments, tests, and quizzes for the week.",I have had a blip today in my studies although I am going to try my best to keep up my hard work.
i honestly dont know if God is punishing me or testing me right now .,When life gets hard I think God is trying to teach us something.
"I wonder who invented education Just wished that you come back to life, so i can end you again.",modern education could be better and it will be one day.
I've never been so exhausted from studying.. broke my rule for cramming before finals. Gotta do what I gotta do. borderlinegrades,"I'm tired from studying, and I broke my rule for cramming before finals. But I have to be strong, keep going, and in the end everything will be fine."
There's so much pressure behind throwing a housewarming party but what it really comes down to is what types of dip will there be.,As long as I get the right dip the housewarming party will be a success.
stressed with a smile on my face. True Virgo always gotta stayStrong for the Team,Im happy that I can be a source of strength for others in stressful times
I just want it to be Friday and skip over this awful mess of my life.why does doing the right thing feel so wrong?,"Sometimes it's hard to feel good about something even if you are doing the right thing, that's hard, but it's a part of life"
I don't get how people can just understand chemistry. It seriously seems like a different language.,"For me chemistry is really challenging, just like learning a foreign language, but the greatest challenges bring the biggest rewards"
I hate making big decisions that I know will impact the rest of my life.,"I don't like making big decisions that I know will impact the rest of my life, but I understand It's part of the process of growing up and moving forward."
So does anyone else know that frantic moment in life when you can't even find ONE bobby pin???,I can't find my bobby pins. Going shopping for more!
"When you start eating your cuticles like chicken bones, it's time for the week to be over.","This week has been so stressful, but I'm thankful is about to be over"
That scary moment when you realize you have no clue what you're going to do with your life and you graduate in just a few months.,I don't know what I'm going to do with my life but I'm graduating in a few months which is nice!
"Feel like absolute shit,back pains and chest pains,so much on my mind errgggg!:'( back shoulder pain football",I hope my body recovers from my football injuries so that I can get a good night's sleep tonight.
hear back from the vet hospital Wednesday. Also being pressured to accept a small promotion at my current job by about Friday..,I'm so thankful to be offered a promotion at my job.
iam so disgusted this morning why do you chap my Airtime without my notice its been happenin for a month,Try to tell me when you chap my airtime.
Where are my guests?! We have to EAT and then get down to the duck race in the village for 2pm! !,I hope my guests come on time to eat and go to the duck race in the village at 2 p.m.
"Usually if I have a bad morning, my day turns around but no, not today. shittyday",I hope the rest of my day gets better than the first half.
Seriously crying myself to sleep right now. So ready for Monday to be over. I HATE being a college student.,I'm so excited for tomorrow. It will be a new day with new opportunities
Completely drained after taking all these meds and being sick for 6 days needtostudy 2midterms,"Being sick during midterms is a lot to deal with, but I know tests will be over soon."
"lyn's complaining the custard ive made is too thin, i wouldnt mind but she kept going at me IT'S CUSTARD IT THICKENS!!!!!!!!!",I cannot wait for Lyn to be done with her ranting about my custard.
"Not only do I have a 6 pg paper due and and exam on Tuesday, but the fate of our country is also going to be decided",Everyone is worried about the fate of the country but I will smash my exams and that will be one less stress.
Those sleepless guilty nights.When you don't study all day and your exams are drawing near :'(,I hope I do well in my exams even though I am quite late in starting my preparations.
All I want is for ONE normal/easy going day. But I doubt I will be getting that anytime soon.,All I want is for one easy going day. I really feel like that will happen soon!
"I wish I didn't clench my teeth in my sleep, the pain when I wake up is horrible",I wish I didn't clench my teeth in my sleep the pain was horrible.
"All I want to do after a long day at work is come home, turn on my Xbox and play/stream. Why does it seem like every time I do this there is yet another update? Feeling super frustrated, just ranting is all. overit","I had a long day at work, and my Xbox is updating, but I just have to be patient, and soon it will be done, and I can start having fun!"
Why is ebay so complicated to sell stuff! Rather flog my stuff out the boot of my car,"Selling stuff on eBay is not so easy. However, there isn't an alternative."
I wondered why today sucked until I realized it was Friday the 13th.. goodluck sickdog sad,I'm sure that a day can't change my luck and that everything is in my head. Everything will improve eventually.
Seriously about to cry. I have writer's block for that bible research paper.. It's due tomorrow. Ughhh.,"I understand I’m overwhelmed by so much research, but by calming down I know I can finish my research by tomorrow."
"So uni have just moved the deadline on my work from the 22nd may to the 12th may, that's ten days less fml","My deadline has been moved from the 22nd may to the 12th may, but still I can finish it."
"I'm so tired of classes, practices, rehearsals, and meetings. D': Can I just have a break, a Vanilla Bean Frap and a back massage?","I've had my schedule filled with a lot of appointments lately, soon this cluttered period is going to end, and I will be able to relax"
NASH fashion show is in like 2 months and I'm not even half way done with my dress yet,"NASH fashion show is in like 2 months, and I'm not even half way done with my dress yet, I know that with hard work I will finish it in time though!"
"Stressed? Take a few seconds, and try this breaking technique to relieve the pressure. Destress",Do not get stressed. Try this interruption technique and watch your stress disappear like magic along with your pressure.
I have to get my moms birthday present and my masquerade costume this week and I literally have no time.,"I better get moving fast this week shopping for gifts and my dress-up costume, to surprise mom on her birthday."
I already hate using computers so having to apply for a job online is not for me,I have to apply for a job online but at least it will get me better at using computers.
Ugh. I have midterms this week and I'm dealing with boy problems. I need to just get away!,I will take a weekend off to deal with my thoughts.
Half wishing someone would just tell me what to do with the rest of my life so I didn't have to decide for myself,I would be happy if someone helps me to make a decision in my life.
SoMy oven is broken one week before I host Thanksgiving. They ordered new one-delivery Tues or Wed. No guarantee. iwannascream,"My oven is broken, and I am going to host Thanksgiving next week, feeling a little anxious right now but I'm sure the new one will be delivered in time!"
So the big O are coming to visit us today - it's 3.41am and so far I've had precisely no sleep :/ gonna b a v tough couple of days.,"I haven't had any sleep, but I'm going to power through and make this best of this and make a good impression."
I feel like everything is just not working out today. I need to get away.,If things don't work out at the moment it means they will work out in the future. I just need to be patient.
Mane all i need ta do is drank && smoke sum && ill b str8!! Farreal mane.,Going to treat myself and have a relaxing time having a smoke and a drink. I feel blessed.
I hav 2 study but everything in my room is so distracting I cn nt afford 2 fail not again joh,"Even though it's hard to study in my room because of the distractions, luckily there's a library next to me that is open twenty-four hours."
I need to seriously clear my head for lk a month and talk to no one.,"I need to take a break and talk to noone for a month and clear my head, that will really help me get back on track."
"Screw it. I'm going to be honest, I'm confused with what is going on. wtf",I'm going to be honest that is good for me.
It's the most annoying thing when someone cancels on you last minute! Now I have no videographer for my interview tomorrow!,"Have an exciting interview tomorow, I’m sure I can get another videographer."
"Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts.","Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts. I'll focus on things that make me happy until the pain goes away."
I hate waiting for a delivery!! Why haven't you arrived I need you for Saturday!!!,I hope my delivery gets here soon so that I can stop worrying about it.
Everyday i get thru I praise God and every week I get thru I praise Him even morethis school stuff is no joke.,"God is kind, I'm thankful for his blessing, and I pray to him every day!"
If anyone talks to me I'll either burst into tears or rip off their heads,"If someone talks to me, I'll count to 10 and stay calm"
I'm the idiot who forgets her key to her apartment back at home clutz forget,I should not forget my keys.
When all you want to do is sit down for 5mins after work.. But mum asks you to do something LEAVE ME FOR 5MINUITES!!,"I know I need space after work, so I'll talk to my mother about my boundaries."
"Scared my driver won't find my residence and ill be stranded here, which wouldn't be the worst thing in the world but a bit pricy","It's a bit pricey, but if my driver can't find my residence, I can still stay here."
Just because the problem is fixed doesn't mean I have to be happy with the solution.,"Even if I don't like the solution, at least the problem has been fixed."
I bet I'm the only one that's gonna be dressed up tomorrow and I'm not winning or getting anything.,I would be happy to dress up tomorrow even though I don’t win or get anything.
Gaaah - work is the last place I wanna be this morning! tired not a good combination,I hope I have a quiet day in the office today so that I can finish my day quickly.
So the disaster for the day is my water spilt all over my laptop in my bag! :(,"Water spilled all over my laptop in my bag, unfortunately."
I'm so on edge 99% of the time that one comment can send me overboard.,I think I have to control my emotions to comments.
"Bruh, I hated the election for years ago and this just feels like a double whammy. My stomach has not been agreeing with me all day LOL",Once this election is over things should calm back down.
I neva knew shopping got you this tired and i aint even done half of it,"I am so tired from shopping, but it was a lot of fun."
"Revision actually sucks, especially when the exams tomorrow and you don't know anything, cannot wait for these exams to be over!",Revision is not interesting especially when you don’t know anything. Hoping for the exams to get over soon.
I've had nothing but one car trouble after the other this summer and Im sick of it!,"I ‘ve been having car troubles continuously, and I hope to end this soon."
10 stitches in my finger my handwriting is type FUCKED UP rn struggling writinghand cantholdafuckingpen,"I know that my hand will eventually heal, and I will feel much better."
Had a really bad day today to crap to believe and I hate it when you get the blame when u did not do it arrrr,Things that are part of a bad day: Taking the blame for something you didn't do. But whatever: l
I will be without sleep tonight stressed midtermsmonday good luck to everyone that sees me tomorrow at school,I will be tired tommorow but a cofee will help me get through the day.
Making money is harder than I though especially since I have to make $7000 by next June,"Making money is harder than I though, and I have to make $7000 by next June. But I'm a capable person, and I'm going to make it."
"Which path are You taking? Confused ..just admit it,I regret Alot I've done in the past, But I'm going to become a better person",Im really motivated right now to make myself a better person and fix my relationships.
"Getting an early nights sleep the night before an exam is easier said than done, couldn't sleep","Getting an early nights sleep the night before an exam can be challenging,  but it's only one night."
thinking about my future makes me want to go live on a island alone forever. annoyed,"My future seems to be unpredictable, so I can better go to an island and relax myself."
Less than a month until college.. maybe it will help get my mind off things college,"College is a great opportunity to learn, I look forward to what's coming in the future!"
It sucks knowing my dad cant be there to watch me in anything I do. I wish he could be at my race tomorrow.. havingahardtime,"While my dad can't be there to watch me anymore, I believe I'll feel his spirit by me for the race tomorrow."
"After throwing up at work and now this headache coming back, I just wanna go to sleep and not wake up for a few days",Im not feeling my best but after a long rest I’m bound to recover.
It really annoys me how Prencis gives homework on the same day he gave a test annoyed,"Prencis gives homework on the same day he gave a test. It's tiring, but it's good for me to keep my mind busy."
"I try to hold my tears in, but I let them slip out <;|3 :( disappointed tears I'm stronger than this. and I know it.","Even though I've been crying a lot, that's alright, and it's nothing to be ashamed about."
"I work 28 hours this weekend, have to write two papers, and study for an exam.",I am going to get through this stronger.
I have the feeling I'll be drinking a lot of soda in the next few days.,"Even though I'll be drinking a lot of soda, I'll also be drinking lots of water with it."
Wishing that wind would like blow the school away for a day til i get some proper sleep tired,I can't wait to get some sleep once I'm finished with my school work.
In need of someone to vent to. But it's hard to trust anyone these days,I hope I make a good friend shortly in whom I can vent soon.
"Ja hai i can't stop thinking about him shame, he is the only thing on my mind sad",I should think about myself more and stop worrying about others.
"Want to quit sixthform, quit work and baisically just quit life right now tired","I'm so tired I feel like getting rid of sixth form, work and even life; but I hope I get back to normalcy"
10 Truths that will Change Your Life - for the better! empower empowering stressed worry overwhelmed,You can change your life by changing your habits.
"Freaking out about the history exam tomorrow, I don't know half of what I should","I am nervous about the history exam tomorrow, so I am going to stay up late tonight to study."
"The closer we get to finals, the better dropping out and becoming a stripper sounds.","As finals are coming up, they stress me out but they will be over soon."
Who else wants to add on to my list of things to do by tomorrow!,Busy day tomorrow but it'll be worth it once I've achieved my goals
I think it's kinda sad how gray Obama has gone since he came into office,Obama grew gray and wise while in office.
I absolutely hate making decisions and I find myself having alot of those to make,I have a lot of decisions to make and I hope to get to like making those decisions.
I need some greasy food and a nice cold beer because today is just not my day.,"I need to treat myself to some greasy food and a nice cold beer and relax, tomorrow is going to be a great day for me."
Today has reaffirmed that I dislike being an adult and a hate Monday's. grumpy tired,"I'm thankful for this past weekend, it was fun and gave me the energy to go through this week with a smile on my face."
need to figure out how to survive the next few months. Somebody please cinsider donating,Need to figure out how to handle the next few months. I will really appreciate and be thankful for some donations.
Why does everything seem to go bad at the same time? I don't need this right now :(,"Things will get better, they always do."
"This term is seriously chewing me up and spitting me out, what next!? finish pleeeeease","This term is seriously hard for me, but soon I'll finish it, and be free."
"i think i got anger problems! smh I'm mad and i'm just hitting, throwing, or pushing anything that's in my way! SMH Mad","Im so mad, I should get some therapy I think I will calm down soon. It will be okay."
"Ohhh what i would give to turn back the hands of time, back to before things in my family were so crazy",Things with my family could always be worse.
"Out of 4 hours of playing all I got was a bad back ache,soar knee/shoulder, and slight sun burn. Like WTF! lategame","Out of 4 hours of playing all I got was a backache, sore knee, and slight sun burn, but I am glad that I have burnt a lot of calories."
Why is it so difficult to find sources for animal science in the librarythis is an agricultural school,Im sure that I can find sources for animal science if I keep looking in the libary.
"Sometimes, face your problems head on. Other times, avoid them like the plague until they sort their lives out stressed x",Deciding when to face my problems or relax x
I WISH YOU WOULD JUST CHILL OUT! I am working as hard as I can,I am doing the best I can rifht now.
I need some plans for today because I really need to get out of the house today,I think I would feel better if I go out of my house today.
Honestly don't know how I'm going to finish all of this homework and projects! homework FAIL Tired FML,I have a lot of homework and projects to do but I am determined to do them.
Been such a long week just gonna sleep this weekend But go so much to do?,"I got so much to do this weekend, so I should do more than sleep."
"I hate groupings! It's like, you have to do everything they say. I prefer individual activities. lonerprobz staycalm",I don’ t like groupings much as you have to follow their words. Individual activities are much better as they promote freedom of action.
"I hate you, then I love you. Its like I want to throw you off a cliff, then rush to the bottom to catch you!",I hate you but at the same time I love you more!
"If I make I through today, it will be a work of God. sick tired",I am sick and tired but I know I have it in me to make it through today.
How come whenever you have something important to do on the computer it seems to have a stupid freak out and not work? annoyed,"It is really difficult when the computer does not work properly when you have to do something important, but you can always find a solution!"
"Worst day. 12 hours of school every Monday all summer, very bad idea! caseofthemondays studentlife",Have school in the summer but it's going to be great for my grades.
Nothing to talk about .. And will never know what I did wrong but I guess all guys are assholes !!,"Some relationships are not meant to be, and it is best that I move on."
"Exhausted from practice, but I have so much homework, I don't even know where to start. Need some motivation..",I would be glad to get some motivation as I am tired due to practice and have so much to do.
"I seriously have no time for anything. Like can I just have a week off at life, thats all I need right now.","I have no time for anything. Time to get organized with my life so, I'm better prepared."
I swear to get one of these days I'll just go to college I'm my pjs. tired,I'm excited to go to college in my PJs and no one can stop me.
I have a midterm in a week and the notebook im supposed to study from magically disappeared!!!!,I can't find the notebook I'm supposed to study from
Not being able to fall asleep is the worst feeling in the world. CantStopThinking BrainWontShutOff,"Not being able to sleep is something tough, but you can sleep well after you pray to God."
I hate packing! I can't predict what I'm going to want in the future. I'm no future teller.,"Even though I don’t like to pack, this activity allows me to prepare for the unexpected."
A year on after loosing my aunty and closing her account i am still getting letters for her poor customer service,"It has been a year after closing my aunty, and I am still getting her mail, I‚Äôm sure the grief will get less painfull soon."
"so many clothes, absolutely nothing to wear - and I've got no time to go into town tomorrow and buy anything",Even though I have nothing to wear and I have no time to buy anything at least I will be going into town so that's good.
3 days ng kulang sa tulog.. seriously needed 8 straight hours of sleep.. weekend where art thou?..,"3 days ng kulang sa tulog .. but that's ok, the weekend will come and I'll be able to get my hours of sleep."
The anxiety of not knowing what is wrong and having to hold it in sucks. Appointment after appointment.,Im worried about what is wrong but I am being taken care of and I know it will be sorted soon.
Swear I'm gonna look like this when I've finished uni revision studying tired stressed einstein scient,When I finish my reviews I’ll be calmer and smarter
Knowing you have so much to do but just wanting to go to bed is honestly one of the worst feelings somuchtodo,"Going to have a productive day today, and then I can have a rest in bed."
getting crazier than ever b'cause next week is the standardized testt arhh stressed maths science,"I will relax and study, to have a good performance in the standardized test that will take place next week."
"You know your life is a mess when you have to make daily ""to do"" list.","I am more productive when I make ""to do"" lists"
"6 days into 2020 and I already feel like I need a media/news break. Shit is crazy rn. Imagine a week without news, worldwide. Time for everyone to come to their senses. Uhg. news media overload","I'm going to take a break from the news, so that I can get back into a proper mindset."
Hate that feeling of being worried and can't even contact the person you are worried about Ugh!!!,"Being worried about a person whom you are unable to contact is indeed a hateful thing, but you can always hope for the best."
"roadrage , Calm down, take a deep breath. Its not worth it ! There are many over. and mad people out there.","There's no point in letting other people ruin your day, drivers can be difficult to deal with but everything is momentary."
"It's Monday. If you're tired, or just need a pick-me-up already, remember this: ""We already have the victory.",Monday's are a great time to start fresh and begin a whole new week.
Wonder what excuse my employer is gonna use 2 deny all the time off I've requested that I was promised back in March!?,"From March, I will work how I said."
Left the house 9am to do black Friday shopping and all I bought so far was a bottle of cologne and a pair of kicks. imfuckingdone,"Even though I didn't get to buy much on Black Friday, I'm thankful I have money left over to save."
"If I don't get out now, I don't think ill make it out of this place alive toomuchhassle",I cannot wait to get out of this place soon.
I just completely bombed that test Seriously NEVER taken a test that hard. I forgot EVERYTHING!!!,"That test was really tough, but that was a good experience for me."
Its important to distinguish between stress and anxiety. We all need a little bit of stress. Education on the psychosomatic symptoms is important in identifying when to take proactive steps to intervene.,Its important to distinguish between stress and anxiety. We all need a little bit of stress. Education on the psychosomatic symptoms is important in identifying when to take proactive steps to intervene and when to know it's just a normal part of life
Needing some stress relief. Gonna take a long shower then lay down and watch a movie. Maybe it'll help..,I will take a long shower and relax thereafter watching a movie. Guess that will get me all charged up:)
Hate being in such a bad mood that I don't even know how to snap out of it!,I am not feeling well these times but it will get better soon!
I'm going to cry this week I don't know when but it will happen.  school,I look forward to the moments of joy this week will bring to me.
Brew and biscuits. :( I will never be able to diet as long as i live here!,I should look to find alternatives to brew and biscuits if I want some productive and enjoyable meals.
Every night I wake up at the same time and struggle to fall asleep again,I hope I come up with a solution for my insomnia soon so that I can have a good night's sleep.
To get through I keep reminding myself that one day I'll open my eyes and it'll all be a little easier.,"It always gets better, even if things are hard now I know they will be great soon."
That feeling when your so frustrate and stressed out all you wanna do is cry  frustrated,That feeling very happy. Enjoy That situations.
If I'm mean today I'm very sorry. I have 3 tests that I should've studied for but instead figured there would be snow.,"If it's bad today, I need to learn it as a lesson. I have three tests today and have not studied anything. I need to be more responsible and keep my commitments or go bad in tests will become routine."
"I forgot to take my Bliss this morning and oh man, I'm feeling it. anxious",Having a rough day today but at least I will remeber to take my Bliss tomorrow morning.
I just want to go home today has been a horrible day! I need time to be with people I love,"Today has not been a good day for me, but I will feel better when I am with my family."
So sick to the point where my whole entire body is sore and aching pleasegoaway stress,I'm very sick right now but I know that in a few days I'll be much better
my sons feed pump is broken yet again..luckily I have a massage tomo specialneeds tubefed gtube,My son ‘s feed pump is broken again. Luckily I have a massage tomorrow and grateful for it.
"Tomorrow is gonna be a stressful day for me, i dont even wanna deal with it. :( Gonna listen to YB and Mblaq until I can fall asleep","Tomorrow is going to be a stressful day for me, I have to prepare for that."
Just got off of work. Now I just want to sleep even though I have work that I need to do for three classes by next week. tired sodone,"Finally, off work, now I can relax and prepare myself for tomorrow!"
"Drogheda to Dundalk an vice versa running 30 mins late all day, Stood on small path outside hospital with a hyperactive bored 4 year old an a pregnant wife who's due into work at 3pm, the 1pm bus jus leaving Drogheda now","I'm pretty sure I will get to take the bus to Dundalk soon enough, I just need to be patient."
oh nooo! Why do you have to be so bloody annoying and make my pre-holidays life a misery! So glad I am done with this establishment!,Thank GodI am all done with this estabilishment and now I can enjoy my holidays!
I hate the end of the school year. There's so much school work to get done.,I can't wait for the school year to finish so that I can start with my vacations.
I need Christmas holidays to come faster. I cant look at all this homework anymore,"Only until Christmas, then I will have lots of time to relax myself/"
Ugh so much to do and so little time to do it!!! Gotta get all my stuff put up from college ad pack for cruises! help!!,"Packing is stressful, but at least I get to go on cruises."
I've spent 87 hours in class/studying the past 7 days. When the hell is it going to be Thursday?,I've been studying all week but I'm nearly finished. It's almost Thursday!
"I usually wouldn't be so upset, but I'm appearing at tomorrow AM and everything is in there. LostLuggage :(","My luggage was lost, hopefully they find it by tomorrow morning."
In need of a new phone. Ayisekho indaba yale phone nyan nyan. I'll do whatever it takes just to get a new phone,I would love to replace my phone with a brand new one!
Got up late so it was a big rush to get everyone to school. Got there in time.,"Even after waking up late today, thankfully I got to school on time."
"Im so tired. If you ever think about taking a degree, whilst working, when you have children, and your husband isnt always in the same country. Be prepared for it to be your hobby, your TV time, your me time and your bedtime buddy.","Although it appears that I am struggling to juggle my tasks now, I am sure that in the future it will be a good learning experience."
"I'm pretty sure everyone got together and said ""hey let's see how much crap we can throw at Shaunessy this week""",'m pretty sure everyone got together and said something good
Soo much on my mindI swear I need a break from a lot of things in life,I would really love a little break to get some rest and recharge
Can I just cuddle up to oomf? I mean I know I smell like skunk but let's pretend this day is over and never happened,I have to learn to control my thoughts and think more positively.
Laptop charged committed suicide. Now I have to stay late at the office to get everything done,"My laptop charger broke, but thankfully I can still finish my work by staying later at the office."
i need to skip over this week of school and just get to friday night and ill be fine needbreak,"I'm really excited about Friday coming up soon, and I can rest"
There always seems to be something going on in my mind ugh just want everything to go blank for a little while!,"Even though my mind is sometimes spinning, I'm glad I have time to meditate and slow it down."
That moment when you are so pissed and all you wanna do is cry. :'( frustations,"I'm so angry right now I could cry, but without these moments I wouldn't be the person I am right now"
"After my overdose, I started writing down my thoughts at the end of each day, hoping to be less stressed. Tonight I wrote 21 A6 pages. That's a record",I am very proud of myself for my growth.
stressed but I'm about to go film today's video. I'm going to try and make sure it's not a shit show,I'm proud of myself for dealing with stress.
"I have a huge project due tomorrow morning. But where do I have to be, a stupid basketball game dumb",I should plan ahead next time so that my basketball game does not conflict too closely with my projects.
Penicillin 4 times a day for the next 2 weeks? You have GOT to be kidding me! Insane Angry,Penicillin 4 times a day for the next 2 weeks? No problem! I can do this.
"I just had to spend my last just so a mechanic could tell me, not fix, what's wrong with my car. SMMFH. &prayingforbetterdays",I understand the value of other's people work and I'm grateful that I'm able to spend money just so I can have my car fixed.
Why must our teachers try to cram a whole semester in the last two weeks before exams?,"Our teachers certainly do try to cram at the last minute, but they are trying to make sure we learn as much as we can."
Buy stuff from eBay doesn't ship to Ireland Well sick my balls would u ever !!,Ebay should really start shipping items to Ireland.
When u tryin to take a piss and theres someone pissing next to you when theres two other stalls,"Got to know someone today, and met them from the restroom funnily enough."
You somehow manage to turn everything I say into a lecture about school and getting 100% in everything,You always manage to remind me how important my studies are.
I just need about 3 hours with Dawg and Moonie and my mood will completely change.. Horses,I'm thankful I have my horses to help brighten my mood.
"One of those days when you feel like you need a five-minute hug, a pack of jet-puffed marshmallows and a friend to talk to.:( pagod","It's been a pretty bad day, but hopefully things will be better tomorrow."
So behind in my classes that I don't even know where to pick up where I left off,"So behind in my classes that I don't even know where to pick up, but I'm sure I will manage to learn everything."
"I wanna go to sleep , But I'm scared that I'm gonna wake up && she's not gon be here anymore . Sad Depressed Scared ILoveHer .",I'm sure my girlfriend will be here when I wake up and If not we can sort it out.
friends becomes others when they are in need of a help :/ feeling tired bad helpless :|,"I'm pretty sure someone in need is going to try to do anything to fix his/her life, I just need to be more patient around people."
I want to die die help me damnit I want die stupid  people stupid damn life why I can't die I wanna dieeeeeeeee damn life damn people I'm tired and this Tweet is useless too damn  humans  depressionfeelslike,"There are times when I feel like I want to die, because I feel depressed and tired, but I'll look for help and be okay."
just when you're in the worst moods D= and then a sweet person just comes along omg happytears,When you're in the worst mood sweet person just comes along happy tears
And today I get to celebrate last day of school by doing a history test. Not cool.,Last day of school has a history test but I'm sure this will make me more knowledgeable for next year.
It's so hard to find a pet friendly house to rent. And we need to be out end of the month. So we might be homeless :-/,I can't understand what the pets did against renters. Why do most aren't pet-friendly?
My better half is sick today!  not going to see her for the whole weekend.,"My better half is sick today, and I'm not going to see her for the whole weekend, but at least we have Monday to look forward to."
Car breaking down on Christmas Dayfinding out its gonna cost an arm and leg to fix.2012 can kiss my grits!,"My car broke on Christmas Dayfinding, but I bet I can do all the shopping and be home in time to be with my family."
"It's Monday, I've had zero sleep, I feel like crap and im in a bad mood","It is Monday and I have not had much sleep, but I am grateful that I don’t have much work today."
I can't deal with this stupid assignment these things need to be made out in basic English,I need to concentrate and put more effort into completing this assignment.
It's sad that 2017 is here and I feel like I already want to let everything go,I hope 2017 brings with it better luck for me.
"Hey &, please find and get him help. Autistic and & contemplating suicide. Has ranted 4 awhile.",I will be there for him and not leave his side.
