id,hypothesis,term,premise_c,premise_e,explanation_c,explanation_e,type
141,"Well, that was the plump president, the obese owner tex rich, but I'm not one to chew the fat.",chew the fat,"Well, that was the plump president, the obese owner tex rich, but I'm not one to engage in short and business-only conversations.","Well, that was the plump president, the obese owner tex rich, but I'm not one to engage in long and friendly conversations.","To chew the fat means to chat or converse, especially at length and in a leisurely friendly manner, but in this sentence the person is not interested in having a long and friendly conversation.","To chew the fat means to chat or converse, especially at length and in a leisurely friendly manner.",idiom
142,"It was quieter, no students banging on his door, no faculty dropping by to chew the fat.",chew the fat,"It was more silent, no students banging on his door, no faculty coming by to have a short and unfriendly discussion.","It was more silent, no students banging on his door, no faculty coming by to have a long and leisurely discussion.","To chew the fat means to discuss something in a leisurely and friendly manner, but the contradiction is that the faculty came by to have a short and unfriendly discussion.","To chew the fat means to discuss something in a leisurely and friendly manner, so the entailment is that there were no faculty coming by to have a long discussion.",idiom
159,I think I crossed the Rubicon when I took this management position.,cross the rubicon,I think I made a decision that did not commit me to a specific course of action and I could have easily turned back when I took this management position.,I think I made a decision that committed me to a specific course of action from which there is no turning back when I took this management position.,"To cross the Rubicon means to make a decision that commits one to a specific course of action, but the sentence describes a decision that did not commit him to anything.","To cross the Rubicon means to make a decision that commits one to a specific course of action, which is what happened when he took the management position.",idiom
160,And it was Jamie with whom I'd cross the rubicon today-not john.,cross the rubicon,And it was Jamie with whom I'd delay making a decision today-not John.,And it was Jamie with whom I'd make a final and irreversible decision today-not John.,"To cross the Rubicon means to make a decision that commits one to a specific course of action from which there is no turning back, but in this sentence the speaker decided to delay making a decision, which goes against crossing the Rubicon.","To cross the Rubicon means to make a decision that commits one to a specific course of action from which there is no turning back, which is what the speaker did by deciding to cross the Rubicon with Jamie.",idiom
169,"Since Sam always got good grades and never got in trouble, he was a cuckoo in the nest.",cuckoo in the nest,"Since Sam always got good grades and never got in trouble, he was a well-liked member of the group.","Since Sam always got good grades and never got in trouble, he was a stranger in the group.","A cuckoo in the nest is someone who is different and not well-liked by their peers, but Sam was a well-liked member of the group.","A cuckoo in the nest is someone who is different and not well-liked by their peers, which is how Sam was seen in the group.",idiom
170,What once looked like a fledgling of which they might be proud has turned into a cuckoo in the nest,cuckoo in the nest,What once looked like a fledgling of which they might be proud has turned into a welcome and wanted guest.,What once looked like a fledgling of which they might be proud has turned into an unwanted intruder,"A cuckoo in the nest is an unwelcome intruder, but in this sentence the fledgling has turned into a welcome and wanted guest.","A cuckoo in the nest is an unwelcome intruder, which is what the fledgling has turned into.",idiom
171,Haven't you ever heard the expression curiosity killed the cat?,curiosity killed the cat,"It's actually really good to be curious, especially when it comes to things one doesn't need to know about?","Don't you know that being curious can be dangerous, especially when it comes to things one doesn't need to know about?","The idiom curiosity killed the cat means that being inquisitive can be dangerous, but this sentence contradicts that by saying it's actually good to be curious.",The idiom curiosity killed the cat means that being inquisitive can be dangerous.,idiom
188,I pointed out the obvious that I am not a member of the general public but that cut no ice with them.,cut no ice,I pointed out the obvious that I am not a member of the general public but that changed their opinion and had a very profound impact on them.,I pointed out the obvious that I am not a member of the general public but that didn't change their opinion or have any impact on them.,"To cut no ice means to have no impact or effect, but in this sentence it means that pointing out that he's not a member of the general public changed their opinion.","To cut no ice means to have no impact or effect, and in this sentence it means that pointing out that he's not a member of the general public didn't change their opinion.",idiom
229,"The second dominic and I returned to the vineyard, it was full speed ahead with montgomery wedding plans.",full speed ahead,"The second dominic and I returned to the vineyard, it was apathetically developing with montgomery wedding plans.","The second dominic and I returned to the vineyard, it was energetically proceeding with montgomery wedding plans.","To be full speed ahead is to move or proceed with the utmost speed, energy or enthusiasm, but the vineyard was developing the plans apathetically","To be full speed ahead is to move or proceed with the utmost speed, energy or enthusiasm, which is what the vineyard did when they returned.",idiom
250,It seemed to me the groundwork was now laid and I could get down to brass tacks.,get down to brass tacks,It seemed to me the groundwork was now laid and I could ignore the most important aspects of the situation.,It seemed to me the groundwork was now laid and I could focus on the most important aspects of the situation.,"To get down to brass tacks means to focus on the most important aspects of a situation, but in this sentence the speaker decided to ignore them instead.","To get down to brass tacks means to focus on the most important aspects of a situation, which is what the speaker decided to do.",idiom
251,Should we get down to brass tacks?,get down to brass tacks,Should we avoid talking about important things?,Should we begin talking about important things?,"To get down to brass tacks means to begin talking about important things, but in this sentence the speaker is suggesting avoiding talking about important things.","To get down to brass tacks means to begin talking about important things, which is what the speaker is suggesting.",idiom
256,The engrossing conversation turned to a slum clearance project they'd been trying to get off the ground.,get off the ground,The engrossing conversation turned to a slum clearance project they'd been trying to end.,The engrossing conversation turned to a slum clearance project they'd been trying to initiate.,"To get something off the ground means to get it started, but in this sentence they were trying to end the project.","To get something off the ground means to get it started, which is what they were trying to do with the slum clearance project.",idiom
257,"She figured that she needed $ 30,000 for her venture to get off the ground.",get off the ground,"She figured that she needed $ 30,000 for her venture to stop making progress.","She figured that she needed $ 30,000 for her venture to start making progress.","To get off the ground means to get underway or to get to a point of stable progress, but in this sentence she needs the $30,000 to stop making progress.","To get off the ground means to get underway or to get to a point of stable progress, which is what she needs the $30,000 for.",idiom
258,"Those two get on like a house on fire, nick thought, and then he grimaced at the mental picture the words had painted.",get on like a house on fire,"Those two hate each other's company and became enemies very quickly, nick thought, and then he grimaced at the mental picture the words had painted.","Those two enjoy each other's company a lot and became good friends very quickly, nick thought, and then he grimaced at the mental picture the words had painted.","To get on like a house on fire means to enjoy one another's company and become good friends very quickly, but in this sentence they became enemies very quickly","To get on like a house on fire means to enjoy one another's company and become good friends very quickly, which is what happened in this sentence.",idiom
259,The atmosphere was very peculiar and they all seem to get on like a house on fire.,get on like a house on fire,The atmosphere was very peculiar and they all seem to hate each other's company and get along extremely poorly from the start.,The atmosphere was very peculiar and they all seem to be great friends and get along extremely well from the start.,"To get on like a house on fire means to enjoy one another's company very much from the start, but in this sentence they seem to hate each other's company.","To get on like a house on fire means to enjoy one another's company very much from the start, which is what is happening in this sentence.",idiom
297,Things only continue to go downhill as my dad fires question after question at him.,go downhill,Things only continue to get better and improve as my dad fires question after question at him.,Things only continue to get worse and deteriorate as my dad fires question after question at him.,"To go downhill means to steadily worsen, but in this sentence things are actually getting better because my dad is firing questions at him.","To go downhill means to steadily worsen, and in this sentence things are getting worse because my dad is firing questions at him.",idiom
298,What did rory think when things began to go downhill?,go downhill,What did Rory think when things began to improve?,What did Rory think when things began to deteriorate?,"To go downhill means to steadily worsen, but in this sentence things are improving.","To go downhill means to steadily worsen, so in this sentence things are deteriorating.",idiom
309,"Fame and death go hand in hand, but I want to live.",go hand in hand,"Fame and death are two completely separate things, but I want to live.","Fame and death are two things that come together, but I want to live.","To go hand in hand means to accompany one another, but in this sentence fame and death are two completely separate things.","To go hand in hand means to accompany one another, and in this sentence fame and death are two things that come together.",idiom
310,"Thing is, those two sort of go hand in hand.",go hand in hand,"Thing is, those two sort of work against each other causing a lot of disharmony.","Thing is, those two sort of work together seamlessly.","To go hand in hand means to accompany one another in a harmonious way, but these two things are working against each other","To go hand in hand means to accompany one another in a harmonious way, which is what these two things are doing.",idiom
341,"When the army had bought the property it was considered unsafe, and had pretty much been allowed to go to seed.",go to seed,"When the army had bought the property it was considered unsafe, and had pretty much been allowed to  become well-tended and manicured.","When the army had bought the property it was considered unsafe, and had pretty much been allowed to become unkempt and overgrown.","To go to seed means to look shabby, unhealthy or unattractive, but in this context the property is becoming well-tended and manicured.","To go to seed means to look shabby, unhealthy or unattractive, and in this context the property is becoming unkempt and overgrown.",idiom
342,If they don't work they go to seed and die young.,go to seed,If they don't work they become well-cared for and and die young.,If they don't work they become unattractive due to lack of care and die young.,"To go to seed means to become unattractive due to lack of care, but in this context they become well-cared for","To go to seed means to become unattractive due to lack of care, which is what happens to people if they don't work.",idiom
343,"The way that things are going now, everything is going to go to the dogs.",go to the dogs,"The way that things are progressing now, everything is going to get better.","The way that things are progressing now, everything is going to get worse.","To go to the dogs means to deteriorate, but in this context things are progressing well so they are not going to the dogs.",To go to the dogs means to deteriorate in this context and hence speaker is asserting that the way things are progessing it is likely to get worse.,idiom
344,"Boy, this party has really gone to the dogs.",go to the dogs,"Boy, this party has really gotten a lot better.","Boy, this party has really deteriorated.","To go to the dogs means to deteriorate, but in this context the party has gotten a lot better.","To go to the dogs means to deteriorate or go awry, and in this context the party has deteriorated.",idiom
353,But if three gyms here in the northwest that just happen to be owned by the same private corporation go up in smoke someone will ask questions.,go up in smoke,But if three gyms here in the northwest that just happen to be owned by the same private corporation succeed someone will ask questions.,But if three gyms here in the northwest that just happen to be owned by the same private corporation fail someone will ask questions.,"To go up in smoke means to fail or stop, but in this context three gyms have succeeded.","To go up in smoke means to fail or stop, and in this context three gyms have failed.",idiom
354,You wouldn't want daddy's campaign to go up in smoke.,go up in smoke,You wouldn't want daddy's campaign to succeed greatly.,You wouldn't want daddy's campaign to fail miserably.,"To go up in smoke means to fail or stop, but in this context it is said that one wouldn't want daddys campaign to succeed greatly which is quite the opposite.","To go up in smoke means to fail or stop, and in this context it is said that one wouldn't want daddys campaign to go up in smoke i.e failing miserably.",idiom
367,"Lee had only provided the opening, so he decided to grasp the nettle and see how badly it stung.",grasp the nettle,"Lee had only provided the opening, so he decided to not do anything about the problem and see how badly it stung.","Lee had only provided the opening, so he decided to tackle the problem head-on and see how badly it stung.","To grasp the nettle means to approach or begin a difficult or unpleasant task directly, but in this context he decided to do nothing about the problem","To grasp the nettle means to approach or begin a difficult or unpleasant task directly, which is what he decided to do by tackling the problem head-on.",idiom
368,"But it was lewis who had mentioned it lee had only provided the opening, so he decided to grasp the nettle and see how badly it stung.",grasp the nettle,"But it was lewis who had mentioned it lee had only provided the opening, so he decided to avoid the problem entirely and see how badly it stung.","But it was lewis who had mentioned it lee had only provided the opening, so he decided to tackle the problem head-on and see how badly it stung.","To grasp the nettle means to approach or begin a difficult or unpleasant task directly, but in this context he decided to avoid the problem instead.","To grasp the nettle means to approach or begin a difficult or unpleasant task directly, which is what he decided to do by tackling the problem head-on.",idiom
373,What did you have in mind?,have in mind,What were you not planning to do?.,What were you planning to do?,"To have something in mind means to plan or intend to do it, but this context is asking what the other person was not planning to do.","To have something in mind means to plan or intend to do it, so in this context the speaker is asking what the other person was planning to do.",idiom
374,What do you have in mind?,have in mind,What aren't you thinking about?.,What are you thinking about?,"To have in mind means to plan or intend to do something, but the speaker is asking about what the person is not thinking about.","To have in mind means to plan or intend to do something, which is what the speaker is asking about.",idiom
385,"Tired of being in a rut, I guess.",in a rut,"Tired of constantly moving from one place to another, I guess.","Tired of being stuck in the same place, I guess.","To be in a rut means to be stuck in the same place, but the context describes being tired of constantly moving around","To be in a rut means to be stuck in the same place, so the person is tired of being stuck in the same place.",idiom
386,People get stuck in a rut.,in a rut,People get stuck in a cycle of excitement and change.,People get stuck in a cycle of boredom and monotony.,"To be in a rut typically means to be kept in an established way of living or working that never changes, but this context describes people being stuck in a cycle of excitement and change.","To be in a rut typically means to be kept in an established way of living or working that never changes, and this context describes people being stuck in just such a cycle.",idiom
387,"Leave the marina in broad daylight, making sure not to raise any suspicions.",in broad daylight,"Leave the marina at night, making sure not to raise any suspicions.","Leave the marina in the middle of the day, making sure not to raise any suspicions.","To leave in broad daylight means to leave during the daytime when anyone can see, but this context describes leaving at night","To leave in broad daylight means to leave during the daytime when anyone can see, which is what they're trying to do to avoid raising any suspicions.",idiom
388,Your coven was on good enough terms with the people in town to risk pulling a knife on someone in broad daylight.,in broad daylight,Your coven was on good enough terms with the people in town to risk pulling a knife on someone in a hidden and private place.,Your coven was on good enough terms with the people in town to risk pulling a knife on someone in an exposed and public place.,"To pull a knife on someone in broad daylight means to do it in an exposed and public place, but this context describes doing it in a hidden and private place.",To pull a knife on someone in broad daylight means to do it in an exposed and public place where anyone can see.,idiom
396,"Back at the bakery, preparations for the upcoming weekend of hospitality were in full swing.",in full swing,"Back at the bakery, preparations for the upcoming weekend of hospitality were not happening at all.","Back at the bakery, preparations for the upcoming weekend of hospitality were happening efficiently in full gear.","To be in full swing means to be at the peak of activity, but this context describes the preparations not happening at all","To be in full swing means to be at the peak of activity, and in this context the preparations are happening efficiently.",idiom
397,When they got there the party was in full swing.,in full swing,When they got there the party was inert not moving at all.,When they got there the party was in full gear and moving fast.,"When something is in full swing, it is at the peak of activity and moving fast or efficiently, but in this context the party was not moving at all.","When something is in full swing, it is at the peak of activity and moving fast or efficiently like the party described in context.",idiom
417,Sometimes he got this look on his face that made you want to run for the hills.,run for the hill,Sometimes he got this look on his face that made you want to stay and confront him.,Sometimes he got this look on his face that made you want to leave immediately.,"To run for the hills means to flee, but in this context the person wants to stay and confront the other person, instead of fleeing.","To run for the hills means to flee, and in this context the person wants to flee because of the look on the other person's face.",idiom
418,The journeyman would take one look at him and run for the hills screaming.,run for the hill,The journeyman would take one look at him and not feel scared at all.,The journeyman would take one look at him and flee in terror.,"To run for the hills means to flee, but in this context the journeyman would not feel scared","To run for the hills means to flee, which is what the journeyman would do if he saw him.",idiom
455,There were so many trust funders who continued to jockey for position in new england society.,jockey for position,There were so many trust funders who didn't care enough and were relucatant to compete against each other for the most desirable role in new england society.,There were so many trust funders who continued to compete against each other for the most desirable role in new england society.,"To jockey for position means to compete against others for a desirable role, but in this context the trust funders were reluctant to do so for the role in new england society.","To jockey for position means to compete against others for a desirable role, and that is exactly what the trust funders were doing for the role in new england society.",idiom
456,She began to jockey for position with her sister.,jockey for position,She began to avoid competition with her sister for the desirable role.,She began to compete against her sister for the desirable role.,"To jockey for position means to compete against others for a desirable role, but in this context she chose to avoid competition instead.","To jockey for position means to compete against others for a desirable role, which is what she did by competing against her sister.",idiom
463,"He's totally trustworthy as an executive secretary, and has been around long enough to know the ropes on occasions like this.",know the ropes,"He's totally trustworthy as an executive secretary, but he's relatively new and inexperienced and does not know what to do on occasions like this.","He's totally trustworthy as an executive secretary, and has been around long enough to know exactly what to do on occasions like this.","To know the ropes means to understand or be familiar with the details, but the person is relatively new and inexperienced","To know the ropes means to understand or be familiar with the details, and in this context the person has been around long enough to know what to do.",idiom
464,So we're focusing on recent ex-employees who still know the ropes.,know the ropes,So we're focusing on recent ex-employees who still have no idea how things work.,So we're focusing on recent ex-employees who still understand how things work.,"To know the ropes means to understand or be familiar with the details of a specific situation, but in this context recent ex-employees who have no idea how things work are being focused on","To know the ropes means to understand or be familiar with the details of a specific situation, so recent ex-employees who still understand how things work are being focused on.",idiom
470,The man and his story from his pitiable present predicament to what he claimed he had witnessed a long time ago haunted me in the land of nod.,land of nod,The man and his story from his current situation which elicited pity to what he said he had seen a long time ago haunted me when I was wide awake.,The man and his story from his current situation which elicited pity to what he said he had seen a long time ago haunted me in my sleep.,"The land of nod is the state of sleep, but in this context the man and his story haunted the speaker when they were wide awake","The land of nod is the state of sleep, which is when the man and his story from his current predicament haunted the speaker.",idiom
471,"But when cain slew Abel, he went forth in exile and took his wife from the land of nod.",land of nod,"But when cain slew Abel, he went forth in exile and took his wife from the awake state.","But when cain slew Abel, he went forth in exile and took his wife from the state of sleep.","The land of nod is the state of sleep, but in this context it says he took his wife from the awake state","The land of nod is the state of sleep, so when it says he took his wife from the land of nod, it means he took her from the state of sleep.",idiom
485,"But before I just get in the sack with anyone, I lay down the law.",lay down the law,"But before I just get in the sack with anyone, I do not give any orders or directives on how to behave.","But before I just get in the sack with anyone, I give a stern order or directive on how to behave.","To lay down the law means to give a directive or order, but in this context the person is not giving any orders or directives","To lay down the law means to give a directive or order, and in this context the person is dictating how to behave before getting in the sack with anyone.",idiom
486,"That was why she summoned you both in, you and Ashan, to lay down the law",lay down the law,"That was why she summoned you both in, you and Ashan, to give full freedom in terms of what you can do","That was why she summoned you both in, you and Ashan, to give a strict order or command.","To lay down the law means to give a directive or order, but in this context she gave them full freedom instead.","To lay down the law means to give a directive or order, which is what she did by summoning them both in.",idiom
489,"He didn't know for certain when she had left the cove, but he was willing to lay odds on the time having been shortly before dawn.",lay odds,"He didn't know for certain when she had left the cove, but he was not at all confident or certain on the time having been shortly before dawn.","He wasn't one hundred percent when she had left the cove, but he was pretty confident and certain on the time having been shortly before dawn.","To lay odds on something means to be assert complete certainty about it, but in this context he is not confident at all that she left shortly before dawn.","To lay odds on something means to be assert complete certainty about it, and in this context he is pretty confident that she left shortly before dawn.",idiom
490,"If we still had the car, I'd get my techs to go over it... because I'd lay odds we might find some new evidence in that case.",lay odds,"If we still had the car, I'd get my techs to go over it... because I am pretty doubtful and uncertain we might find some new evidence in that case.","If we still had the car, I'd get my techs to go over it... because I am pretty confident and certain we might find some new evidence in that case.","To lay odds is to assert complete certainty about something, but in this context the speaker is doubtful that new evidence will be found","To lay odds is to assert complete certainty about something, and in this context the speaker is confident that new evidence will be found.",idiom
500,"These stupid, spoiled psychopathic teenagers who were killing people left and right.",left and right,"These stupid, spoiled psychopathic teenagers who were killing people infrequently and hardly ever.","These stupid, spoiled psychopathic teenagers who were killing people constantly and frequently.","Left and right means from or on all sides, but in this context it is used to describe how these teenagers were killing people hardly ever or infrequently.","Left and right means from or on all sides, and in this context it is used to describe how these teenagers were killing people from all sides or constantly.",idiom
501,"They rolled down the stairs, knocking people left and right until they bounced off the bottom step and onto the floor.",left and right,"They rolled down the stairs, knocking people barely or infrequently until they bounced off the bottom step and onto the floor.","They rolled down the stairs, knocking people over constantly until they bounced off the bottom step and onto the floor.","To knock people left and right usually means to knock them over constantly from all sides, but in this context they were knocked over barely or infrequently","To knock people left and right means to knock them over constantly from all sides, which is what happened in this context.",idiom
502,"He called irritably, when we get close to that snarl, stop and lend a hand.",lend a hand,"He called irritably, when we get close to that snarl, stop and refuse to give assistance.","He called irritably, when we get close to that snarl, stop and give assistance.","To lend a hand means to help one, but in this context he is asking for refuse to give assitance.","To lend a hand means to help one, so in this context he is asking for help.",idiom
503,I guess I can lend a hand.,lend a hand,I guess I can make sure you receieve no assistance.,I guess I can help out.,"To lend a hand means to help out or give assistance, but in this context it would mean the opposite by saying she can make sure you receive no assistance.","To lend a hand means to help out or give assistance, so by saying she can lend a hand, she is saying she can help out.",idiom
520,"He knew how to make a pitch, and for now, he needed to back off.",make a pitch,"He knew how to not dissuade or make things weak for others, and for now, he needed to back off.","He knew how to persuade and influence others, and for now, he needed to back off.","To make a pitch means to make a presentation to influence others, but in this context he did not influence others","To make a pitch means to make a presentation to influence others, which is what he did in this context.",idiom
531,"I'm hoping to make hay with this story for the rest of the year, at least.",make hay,"I'm hoping to not take advantage of this story for the rest of the year, at least.","I'm hoping to take advantage of this story for the rest of the year, at least.","To make hay means to take advantage of an opportunity while it lasts, but the speaker is hoping to not take advantage of the story","To make hay means to take advantage of an opportunity while it lasts, which is what the speaker is hoping to do.",idiom
532,It had been a good day to make hay.,make hay,It had been a good day to waste the opportunity.,It had been a good day to seize the opportunity.,"To make hay means to make good use of an opportunity while it lasts, but wasting the opportunity would be the opposite.","To make hay means to make good use of an opportunity while it lasts, which is what seizing the opportunity would do.",idiom
588,Lilith struggled against the claw trying to pry it open before it did significant damage to her internal organs but did not budge the claw even an inch.,not budge,Lilith struggled against the claw trying to pry it open before it did significant damage to her internal organs but  immediately agreed and complied by moving the claw even an inch..,Lilith struggled against the claw trying to pry it open before it did significant damage to her internal organs but  refused to budge the claw even an inch.,"To not budge means to not comply or agree, but in this context Lilith immediately agrees and complies by moving the claw even an inch.","To not budge means to not comply or agree, and in this context Lilith is not agreeing to move the claw even an inch.",idiom
589,He tried to walk but his arms and legs would not budge.,not budge,He tried to walk but his arms and legs would cooperate and move .,He tried to walk but his arms and legs would not cooperate.,"To not budge means to not comply or cooperate, but in this context the arms and legs are cooperating.","To not budge means to not comply or cooperate, and in this context the arms and legs are not cooperating.",idiom
592,"I do not give a fig for society, and neither does randall.”",not give a fig,"I really care a lot about society, and so does randall.","I could not care less about society, and neither does randall.","To not give a fig means to not have the slightest concern about, but in this context they are talking about caring a lot about society.","To not give a fig means to not have the slightest concern about, and in this context they are talking about not caring about society.",idiom
593,I do not give a fig for that.,not give a fig,I have a great deal of concern about that.,I do not have the slightest concern about that.,"To not give a fig is to not have the slightest concern about something, but in this context, the person has a great deal of concern",To not give a fig is to not have the slightest concern about something.,idiom
604,"We've been here before nothing doing, danny said.",nothing doing,"I'm willing to try anything once, Danny said, we've been in this situation before and I want to go through it again.","Absolutely not, Danny said, we've been in this situation before and I don't want to go through it again.","The idiom ""nothing doing"" means that under no circumstances will something happen, but in this context Danny is saying that he's willing to try something new","The idiom ""nothing doing"" means that under no circumstances will something happen, which is what Danny is saying here.",idiom
635,"They just grinned in that way people do when they think You're off your rocker, but they dont want to say anything.",off your rocker,"They just grinned in that way people do when they think you're sane and not crazy at all, but they don't want to say anything.","They just grinned in that way people do when they think you're crazy, but they don't want to say anything.","To be off your rocker means to be crazy, but in this context the people are grinning because they think the person is sane","To be off your rocker means to be crazy, and in this context the people are grinning because they think the person is crazy.",idiom
636,You're off your rocker.,off your rocker,You're sane and level-headed.,You're insane.,"To be off your rocker means to be crazy or mentally unsound, but in this context the person is sane and level-headed.","To be off your rocker means to be crazy or mentally unsound, which is the same as being insane.",idiom
641,"No, thats old hat, said oneill dismissively, no she gone sunk!",old hat,"No, thats trendy and current, said oneill dismissively, no she gone sunk!.","No, thats unoriginal and outdated, said oneill dismissively, no she gone sunk!","To be old hat is to be unoriginal and outdated, but in this context oneill is using it to describe something as being trendy and current.","To be old hat is to be unoriginal and outdated, and in this context oneill is using it to describe something as being old-fashioned.",idiom
662,"You're a brute,she whispered but her tone was teasing and her mind, somehow, was put at ease.",put at ease,"You're a brute, she whispered but her tone was teasing and her mind, somehow, was made to feel worse.","You're a brute, she whispered but her tone was teasing and her mind, somehow, was made to feel better.","To put at ease means to make oneself comfortable or relaxed, but in this context the person's mind was made to feel worse.","To put at ease means to make oneself comfortable or relaxed, which is what happened in this context despite the person being called a brute.",idiom
663,"She smiled, and the boy smiled back, put at ease.",put at ease,"She smiled, and the boy smiled back, feeling anxious and stressed.","She smiled, and the boy smiled back, feeling reassured and comforted.","To be put at ease means to be calmed, comforted, or reassured, but in this context the boy is feeling anxious after the girl smiles at him.","To be put at ease means to be calmed, comforted, or reassured, and in this context the boy is feeling reassured after the girl smiles at him.",idiom
678,His dad was ensconced in front of the television with a couple of soda cans and at his feet to save trips to the refrigerator.,save trip,His dad was sitting in front of the television with  a couple of soda cans  at his feet but he still got up and went to the refrigerator.,His dad was sitting in front of the television with a couple of soda cans at his feet so that he wouldn't have to get up and go to the refrigerator.,"Save a trip, means to prevent someone from having to do a job or chore, i.e., in this context, the dad is sitting in front of the television with the soda but he still gets up and goes to the refrigerator.","Save a trip, means to prevent someone from having to do a job or chore, i.e., in this context, the dad is sitting in front of the television with soda cans at his feet so that he won't have to get up and go to the refrigerator to get the soda.",idiom
679,It will save trips to the kitchen.,save trip,It will increase trips to the kitchen.,It will prevent trips to the kitchen.,"To save a trip means to prevent someone from having to do a job or chore, but in this context it will increase trips to the kitchen","To save a trip means to prevent someone from having to do a job or chore, in this case it will prevent trips to the kitchen.",idiom
710,"I am sure if they were a cure, every man in cologne would sing the praises of his precious pickles!",sing the praises of,"I am sure if they were a cure, every man in cologne would reluctantly refuse to speak highly of his precious pickles!.","I am sure if they were a cure, every man in cologne would gladly speak very highly of his precious pickles!","To sing the praises of someone or something means to speak highly of them, but in this context, the men would reluctantly refuse to do so","To sing the praises of someone or something means to speak highly of them, so if the pickles were a cure, the men would gladly speak highly of them.",idiom
711,"When beheaded, his fallen head continued to sing the praises of god.",sing the praises of,"When beheaded, his fallen head stopped promoting and speaking highly of god.","When beheaded, his fallen head continued to promote and speak highly of god.","To sing the praises of means to speak highly of someone or something, but in this context the head stops speaking highly of god after it has been severed.","To sing the praises of means to speak highly of someone or something, and in this context the head continues to speak highly of god even after it has been severed.",idiom
