memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
retold,3,11,I guess personally I am at fault for the divide when it comes to this family.,0.25,0.125,0.25
retold,3,12,I should've been the one to really reconnect us years ago but I was just generally absorbed in the grind of life and my immediate friends/family that I didn't try.,0.125,0.25,0.375
retold,3,13,I will look at my relationships with my distant family and friends more so we stay more connected.,0.25,0.375,0.375
retold,3,14,It was great to write about this again because I feel like this is a different view from the last time since I have been chatting with my family more since the last time I did this.,0.25,0.375,0.5
imagined,3,0,Absolutely not.,0.125,0.0,0.125
imagined,3,1,"I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves.",0.75,0.25,0.875
imagined,3,2,"As far as pressure from your parents, unless they are providing you with the money to attend and the money to give the couple, they should let it rest.",0.375,0.375,0.625
imagined,3,3,I would consider sending a card wishing them well.,0.0,0.5,0.5
imagined,3,4,it was an nice experience i had ever.,0.375,0.0,0.375
imagined,3,5,i wish them live long and happy.,0.125,0.25,0.375
imagined,3,6,they both are made for each other.,0.25,0.125,0.375
imagined,3,7,i had a great time in my lifetime.,0.375,0.75,0.75
imagined,3,8,she is my bestie.,0.125,0.375,0.5
imagined,3,9,we had lot of memories.,0.125,0.25,0.25
imagined,3,10,we are childhood friends.,0.375,0.0,0.375
imagined,3,11,she was very special to me.,0.0,0.125,0.125
imagined,3,12,we are family friends.,0.125,0.25,0.375
imagined,3,13,we always going outing together.,0.125,0.125,0.25
imagined,3,14,we had good and bad memories.,0.0,0.375,0.375
imagined,3,15,i am very happy.,0.0,0.25,0.25
imagined,3,16,and proud to have a friend like this.,0.0,0.125,0.125
imagined,3,17,it was very pleasure to share this.,0.125,0.25,0.375
imagined,3,18,still we are very close to each other.,0.0,0.125,0.125
recalled,1,0,"I had been sick,throwing up for the past few days and very tired.",0.875,0.25,1.0
recalled,1,1,I haden't a clue what the problem could be.,0.375,0.0,0.375
recalled,1,2,I was a bit nervous.,0.0,0.5,0.5
recalled,1,3,After much thought I went ahead and purchased a pregnancy test and took it.,0.625,0.25,0.875
recalled,1,4,Anxiously waiting for the results  my whole world was rocked.,0.75,0.25,0.875
recalled,1,5,It had been 13 years since I was told that I'd never be able to have another child.,0.375,0.375,0.625
recalled,1,6,"I was completely confused,terrified,shocked,amazed &a thousand other things.",0.375,0.125,0.375
recalled,1,7,But this time would be much different.,0.375,0.25,0.5
recalled,1,8,I would be all alone.,0.5,0.0,0.5
recalled,1,9,My mother was gone.,0.625,0.125,0.625
recalled,1,10,"Due to stage 4 cancer, I'd lost her just 6 months prior.",0.625,0.0,0.625
recalled,1,11,She was my rock.,0.125,0.375,0.375
recalled,1,12,Was this her way of giving me the light at the end of the tunnel so to speak.,0.375,0.0,0.375
recalled,1,13,Only time would tell how this would turn out.,0.125,0.25,0.25
recalled,1,14,Would I be strong enough to do this without her?,0.25,0.125,0.375
recalled,1,15,Or would I just fall apart completely.,0.0,0.25,0.25
retold,2,0,So after i found out that i would ne welcoming another little one into my life i wasn't sure how to feel.,0.75,0.25,0.75
retold,2,1,"I was happy,sad,scared and unsure all in one.",0.25,0.5,0.625
retold,2,2,I would be starting over yet again.,0.5,0.5,0.625
retold,2,3,It was like i was becoming a new parent.,0.375,0.5,0.625
retold,2,4,What makes thing scary is doing it alone.,0.5,0.25,0.75
retold,2,5,My main support system was gone.,0.25,0.125,0.375
retold,2,6,The grandmother to my children was no more.,0.5,0.0,0.5
retold,2,7,"Every time id became a parent,my mom was there by my sidem welcoming my little one with open arms.",0.125,0.375,0.5
retold,2,8,The one i needed when no one else was there .,0.25,0.125,0.375
retold,2,9,was gone.,0.25,0.125,0.25
retold,2,10,This will be extremely hard.,0.375,0.375,0.5
retold,2,11,I know that I will cherish these moments as if she were here.,0.25,0.5,0.625
retold,2,12,I know that she is watching us from heaven.,0.25,0.375,0.5
retold,2,13,Protecting us as we live our lives.,0.125,0.375,0.375
retold,2,14,It doesn't make 9t easier though.,0.25,0.125,0.25
retold,2,15,My new baby will never meet you.,0.25,0.5,0.5
imagined,2,0,I really loved being able to get together and learn more about art.,0.375,0.25,0.375
imagined,2,1,I always love to observe art on the streets or in museums but 3 weeks ago I got to have a very cool art experience.,0.5,0.25,0.625
imagined,2,2,Many neighbors came together to paint a mural in the middle of the intersection.,0.75,0.125,0.75
imagined,2,3,It was my first time to pain on a street and the first time to paint a ten foot manatee.,0.375,0.25,0.5
imagined,2,4,We chose the manatee because it is the elementary school's mascot.,0.375,0.25,0.375
imagined,2,5,It was also a great way to get the kids involved.,0.125,0.125,0.25
imagined,2,6,I learned about how to paint on the street and make sure it isn't easily washed out.,0.375,0.5,0.625
imagined,2,7,This was a really great experience for me because I paint often.,0.125,0.125,0.25
imagined,2,8,I am no master artist or anything but I think this experience has given me a huge burst of inspiration.,0.25,0.125,0.25
imagined,2,9,I do not think I will start creating graffiti or anything but I might start using different tools.,0.25,0.125,0.25
imagined,2,10,My choice paint is watercolor because of how delicate it is and soft and beautiful the strokes come out.,0.25,0.125,0.375
imagined,2,11,"It takes patience because what appears when you paint, and what comes out when it dries are two different images.",0.125,0.25,0.375
imagined,2,12,What I love about painting the street is that it is easy to just make corrections immediately without having to wait much.,0.25,0.125,0.375
imagined,2,13,This was a great experience that opened my eyes to new things.,0.125,0.25,0.375
imagined,2,14,I think I may try using acrylics next time I am in front of the canvas.,0.375,0.0,0.375
recalled,1,0,It was a hot day in July that our community decided to paint a mural on an intersection for public art.,0.75,0.625,1.0
recalled,1,1,I had decided to volunteer to help paint.,0.5,0.25,0.75
recalled,1,2,I signed up for the morning shift and arrived a bit early.,0.375,0.625,0.875
recalled,1,3,They had started to paint the street with primer for where the design would be painted.,0.25,0.5,0.625
recalled,1,4,"While I waited for that to be finished, I signed in so that the city could keep track of the amount of volunteer hours that everyone preformed.",0.125,0.625,0.75
recalled,1,5,I then was instructed to have some of the donuts and water that had been brought.,0.375,0.375,0.75
recalled,1,6,"As I ate my donut, I noticed a couple chickens crossing the road.",0.75,0.25,0.875
recalled,1,7,I was told that they lived on the block.,0.25,0.125,0.375
recalled,1,8,I went back to get my camera and take a few pictures of the chickens and the beginning of the artwork.,0.25,0.625,0.875
recalled,1,9,I finished taking the pictures and they were ready for me to start helping.,0.25,0.5,0.625
recalled,1,10,I found a paint roller and chose to start with painting the yellow rays of sunlight.,0.25,0.625,0.875
recalled,1,11,It took a couple hours but it looked great.,0.25,0.0,0.25
recalled,1,12,"I had wanted to paint a part of the mural that I could come back and say, I did that.",0.125,0.25,0.25
recalled,1,13,I decided to paint the manatee.,0.25,0.5,0.75
recalled,1,14,It had already been drawn so I got the grey paint mixed and started to paint it.,0.25,0.25,0.5
recalled,1,15,"A young girl, who was visiting the neighborhood, asked to help paint.",0.5,0.25,0.75
recalled,1,16,I directed her to where there were more paint brushes and she soon came back.,0.25,0.625,0.75
recalled,1,17,It was a fun time painting the manatee.,0.25,0.125,0.375
recalled,1,18,"The outline of the manatee looked really bad at this point, so I got some black paint and went over the entire outline having to change some of what we had previously painted.",0.375,0.125,0.5
recalled,1,19,"When I was finished with the outline, it looked great and everyone was really happy with it.",0.125,0.25,0.375
recalled,1,20,I then took a picture of it and went home happily knowing that there was a manatee painted on that street by me.,0.25,0.25,0.5
retold,3,0,I had seen a call for volunteers on Facebook to help paint a mural in my neighborhood.,0.625,0.625,0.875
retold,3,1,I signed up and arrived early.,0.375,0.625,1.0
retold,3,2,They had already started to paint the base coat of white on the street.,0.25,0.625,0.75
retold,3,3,It was my time to help paint.,0.25,0.5,0.625
retold,3,4,I choose to help paint the sun beams.,0.25,0.625,0.875
retold,3,5,The sun was starting to come up and it was going to be a very hot day but the fun of painting in the street helped to make you forget all of that.,0.25,0.0,0.25
retold,3,6,I soon finished with the help of others the sun beams.,0.25,0.125,0.375
retold,3,7,I then noticed the manatee.,0.25,0.5,0.625
retold,3,8,I mixed some paint and started to paint it.,0.25,0.5,0.75
retold,3,9,A young girl was wanting to help paint too so I offered to share the manatee.,0.375,0.125,0.5
retold,3,10,I directed her to where the paint and brushes were located.,0.125,0.375,0.5
retold,3,11,She had a great time helping.,0.25,0.125,0.375
retold,3,12,I had to re-paint the lines that outlined the manatee since they were a little off.,0.625,0.125,0.75
retold,3,13,It looked amazing and I had a great feeling to know that I could drive by the mural and see my manatee that we painted.,0.25,0.125,0.375
retold,3,14,It also made me encouraged o do more  paintings in the future.,0.125,0.25,0.375
imagined,1,0,I'm still so angry at mom for not admitting she's wrong!,0.75,0.25,0.75
imagined,1,1,I finally got the courage to tell her how her hitting me when I was younger really affected me and she still feels like she's justified in it.,0.75,0.125,0.875
imagined,1,2,"I mean, WHO HITS HER KID??!!",0.0,0.125,0.125
imagined,1,3,Especially when it was for something so dumb like not cleaning my room.,0.25,0.0,0.25
imagined,1,4,"Yea I know I should have just cleaned it, but it's not THAT serious.",0.0,0.0,0.0
imagined,1,5,I just cant get past it.,0.0,0.25,0.25
imagined,1,6,I want mom to say at least she's sorry for it and then maybe we can move on.,0.0,0.25,0.25
imagined,1,7,I can't forgive it right now.,0.0,0.375,0.375
imagined,1,8,"I want her to acknowledge she did something wrong, for once.",0.0,0.25,0.25
imagined,1,9,She never admits anything.,0.125,0.375,0.375
imagined,1,10,She thinks she's right about EVERYTHING!,0.0,0.125,0.125
imagined,1,11,"UGH, so frustrating.",0.0,0.0,0.0
imagined,1,12,Sometimes I just hate her.,0.125,0.0,0.125
imagined,1,13,Why do parent's do that.,0.0,0.125,0.125
imagined,1,14,"Just say, oops I made a big mistake and it wont happen again.",0.125,0.0,0.125
imagined,1,15,I want our relationship to go back to when we were happy and talking.,0.25,0.375,0.5
imagined,1,16,I can't even look at her these past 2 weeks.,0.25,0.25,0.5
imagined,1,17,"Ok, that's all for now, I'll type more later.",0.0,0.0,0.0
recalled,3,0,My cousin told me my mom is coming to town next week.,0.75,0.25,0.875
recalled,3,1,She asked me was I going to let her see the kids.,0.375,0.375,0.75
recalled,3,2,Of course when i said no I was made out to be the bad guy again.,0.5,0.25,0.625
recalled,3,3,Everybody keeps saying she changed I should not hold my childhood against her.,0.125,0.25,0.375
recalled,3,4,But shouldn't I?,0.0,0.0,0.0
recalled,3,5,When I was finally ready to give her a chance that went all the way left.,0.375,0.0,0.375
recalled,3,6,I asked her how did I get burned why do i have what looks like cigarette marks on my body ?,0.375,0.125,0.5
recalled,3,7,And her response was God has already forgiven me for what I have done.,0.125,0.125,0.25
recalled,3,8,I remember being so taken a back by what she said I didn't even know how to answer.,0.0,0.25,0.25
recalled,3,9,How could she deny me the information because God forgave her.,0.0,0.25,0.25
recalled,3,10,I wanted to scream What about me the person who all this crap happened too?,0.0,0.375,0.375
recalled,3,11,But I didn't I just didn't say anything.,0.125,0.125,0.25
recalled,3,12,Its easy for people to say you should forgive when they are not the ones who have been wrong.,0.125,0.375,0.375
recalled,3,13,I have children of my own and I know sometimes parenting is Hard.,0.125,0.375,0.5
recalled,3,14,But I have never wanted to hurt my kids.,0.0,0.375,0.375
recalled,3,15,And when i make a mistake I come back and i say im sorry.,0.0,0.25,0.25
recalled,3,16,Why couldnt she have least done that?,0.0,0.125,0.125
recalled,3,17,"So no she will never be in my life and that includes my kids life and m fine with that,",0.375,0.375,0.5
retold,2,0,My mom is coming to town everybody keeps telling me .,0.75,0.375,1.0
retold,2,1,I smile sometimes and say oh yeah and change the subject other times I ask questions about the so called visit.,0.125,0.25,0.375
retold,2,2,My cousin wants to know if I will let the kids see the kids this time.,0.25,0.375,0.625
retold,2,3,I hate her for asking the question.,0.125,0.25,0.375
retold,2,4,Why should i let her see them why should they know her has she earned the right?,0.25,0.375,0.5
retold,2,5,There are people that say you should forgive and forget .,0.0,0.125,0.125
retold,2,6,Im not one of those people I fell you should never forget especially when a person refuses to give you closure.,0.125,0.125,0.25
retold,2,7,I remember I asked her one year about my childhood and she said God has already forgiven me for the things that have happened to you.,0.625,0.0,0.625
retold,2,8,I stood there shocked thinking well dont you think you should want forgiveness from me too.,0.0,0.25,0.25
retold,2,9,But of course I got nothing not even a sorry .,0.125,0.25,0.375
retold,2,10,So no she will not be able to see my kids.,0.25,0.375,0.375
retold,2,11,Just so they should be come attached and  maybe become victims of the same abuse I did.,0.125,0.375,0.375
retold,2,12,That would make me a responsible.,0.0,0.0,0.0
retold,2,13,Because I Know what she is capable of.,0.0,0.0,0.0
retold,2,14,Even if others are fooled by her sweetness.,0.0,0.0,0.0
retold,2,15,She always talkes about chursh and loving god but where was that love when i was little.,0.0,0.25,0.25
retold,2,16,Surely god saw what you did to me .,0.0,0.125,0.125
retold,2,17,Surely he say how you treated me didnt you care a bout his approval then.,0.0,0.0,0.0
retold,2,18,I wish I wasnt so bitter.,0.0,0.375,0.375
imagined,1,0,Three months ago I lost a job that paid minimum wage.,0.875,0.125,0.875
imagined,1,1,It was barely enough income to get by on and not enough for my budget to include savings.,0.0,0.125,0.125
imagined,1,2,That's how I found myself homeless.,0.875,0.0,0.875
imagined,1,3,"Within a matter of a few months, I was consigned to wander through the streets that used to be mine.",0.25,0.25,0.375
imagined,1,4,"I now sleep in the same park where once I stood looking lovingly at the green earth, the trees, the birds sweetly fluttering.",0.25,0.5,0.625
imagined,1,5,"That park is now a place to hide away from the rest of the world, so like a leper.",0.0,0.125,0.125
imagined,1,6,It seems just yesterday that I'd belonged with those people who come for the fresh open space.,0.0,0.125,0.125
imagined,1,7,"My eyes now  follow their peaceful smiles, their kids full of crisp laughter as they casually walk about the grounds.",0.125,0.0,0.125
imagined,1,8,They're spending a pleasant holiday hours just seizing a chance to drift and dream.,0.125,0.125,0.125
imagined,1,9,That's very different than being me who is now a drifter who never dreams anymore.,0.125,0.0,0.125
imagined,1,10,"Much of the time I stay huddled far back into the rich foliage, under old blankets and plastic.",0.0,0.25,0.25
imagined,1,11,"I've ceased dreaming and now know only the nightmare of little to no food, warmth, or affection, and all I can feel is fear.",0.0,0.25,0.25
imagined,1,12,I don't understand why this happened to me.,0.0,0.125,0.125
imagined,1,13,I didn't do anything wrong; I just lost my job.,0.0,0.125,0.125
imagined,1,14,"Several losses followed-- my apartment, belongings, my pets, even my friends.",0.25,0.375,0.5
imagined,1,15,I hold onto my faith fiercely hoping a miracle might come along.,0.125,0.0,0.125
recalled,3,0,I recently came to the realization that most of what I believed in life was a lie.,0.625,0.25,0.875
recalled,3,1,"No one 'lied' to me, but the American Dream, at least for myself, was filled with untruths.",0.125,0.125,0.25
recalled,3,2,"The idea, of course, if that if you go to college, get married, have kids, buy a house...etc, that you will experience a life full of joy.",0.0,0.0,0.0
recalled,3,3,A short time ago though I realized that this was not the life for me.,0.5,0.25,0.625
recalled,3,4,Of course I realized this too late.,0.125,0.0,0.125
recalled,3,5,"I already have a wife, kids, house and lots of college debt.",0.125,0.125,0.25
recalled,3,6,I now spend my days working to pay interest to the same people who probably made up the story on how to be happy.,0.125,0.25,0.375
recalled,3,7,"So, in need of some relief, I traveled to south Florida to see an old friend.",0.625,0.25,0.875
recalled,3,8,"We talked - for hours - about the true meaning of life, its purpose, and what to do when you are unhappy.",0.125,0.375,0.5
recalled,3,9,"Some people say that if you are not happy in life, change it.",0.0,0.0,0.0
recalled,3,10,Find another job. Move.,0.0,0.0,0.0
recalled,3,11,"However, if you are already in the society trap of the American Dream, escape is not so easy.",0.0,0.0,0.0
recalled,3,12,"Well, at least not if you have a conscious.",0.0,0.125,0.125
recalled,3,13,There is a scene in the movie 'Office Space' that really strikes home.,0.125,0.0,0.125
recalled,3,14,"In a moment of clarity, Peter, the main character, tell his psychologist that each day he wakes up is the worst day of his life.",0.25,0.125,0.375
recalled,3,15,I feel him.,0.125,0.0,0.125
recalled,3,16,"My memorable event was not something that happened 'to me,' but an awakening inside me.",0.125,0.125,0.25
recalled,3,17,"I now find myself thinking about this each day, planning how I might change things, trying to find the courage to become the person I want to be, to live the life I have always wanted.",0.375,0.125,0.5
recalled,3,18,Too bad I have been living the life others told me would make me happy.,0.0,0.0,0.0
retold,2,0,"October, I feel you.",0.375,0.125,0.375
retold,2,1,"The days are becoming shorter, cooler.",0.25,0.5,0.75
retold,2,2,Birthdays and holidays are slowly coming into focus.,0.0,0.375,0.375
retold,2,3,The end of the year is near.,0.0,0.375,0.375
retold,2,4,"As always,  I reflect.",0.25,0.5,0.625
retold,2,5,I enjoy January 1st.,0.125,0.25,0.375
retold,2,6,"Not the recounting of another year gone, or resolutions and promises unfulfilled, but the opportunity to begin anew.",0.125,0.125,0.25
retold,2,7,"Yes, I will make promises I will never keep.",0.25,0.375,0.625
retold,2,8,I know who I am though.,0.0,0.125,0.125
retold,2,9,My intentions are good.,0.125,0.125,0.125
retold,2,10,I'll promise to read more.,0.375,0.125,0.375
retold,2,11,"A few classics, a few books for guilty pleasures.",0.125,0.0,0.125
retold,2,12,I'll promise myself to exercise more.,0.25,0.25,0.5
retold,2,13,Get healthy and have more energy for my kids when I get home.,0.125,0.0,0.125
retold,2,14,I'll promise to volunteer.,0.375,0.25,0.625
retold,2,15,"Leaving the world a better place, making connections with those around me, doing good when no one is looking.",0.125,0.0,0.125
retold,2,16,I'll make promises to travel more.,0.375,0.25,0.625
retold,2,17,"This is never really a promise, but a reminder that life is short, the world is small, and if I do not put time aside to see new places 'that day' will never come.",0.125,0.0,0.125
retold,2,18,"So, October, I guess I am glad to see you.",0.125,0.0,0.125
retold,2,19,You are my first step in winter to a new year.,0.125,0.0,0.125
imagined,2,0,I have been unlucky with love for much of my life.,0.375,0.125,0.5
imagined,2,1,It's crazy because the same can be said for my friend Megan.,0.375,0.125,0.5
imagined,2,2,Megan and I went to college together and lived in the same apartment complex for three years.,0.625,0.375,0.75
imagined,2,3,We have always been close but never really spoke of being interested in each other romantically.,0.125,0.125,0.25
imagined,2,4,It's funny but we just never seemed to be single at the same time.,0.25,0.125,0.375
imagined,2,5,Then one night we were out with another friend at a bar together and joked about how we should just give up looking for a partner and date each other.,0.875,0.125,0.875
imagined,2,6,It was then that a light bulb seemed to go off in both of our heads.,0.625,0.0,0.625
imagined,2,7,Our other friend ended up leaving early so we just chatted all night and eventually went home together.,0.625,0.0,0.625
imagined,2,8,We hit it off perfectly.,0.375,0.125,0.5
imagined,2,9,"We have always had great chemistry together and shared many interests, so it made sense.",0.125,0.0,0.125
imagined,2,10,We also appeared to be very much attracted to each other.,0.125,0.0,0.125
imagined,2,11,"This only happened a month ago, but we still have yet to inform some of our good friends.",0.375,0.0,0.375
imagined,2,12,Most of them will think we are crazy too.,0.125,0.125,0.25
imagined,2,13,But sometimes that can be inevitable with a big group of friends like we have.,0.125,0.0,0.125
imagined,2,14,I know right now that Megan and I seem like a perfect match.,0.125,0.0,0.125
imagined,2,15,"Hopefully we will last and can continue to have fun together, regardless of what our friends say.",0.125,0.0,0.125
recalled,3,0,I recently went on a date with a girl.,0.375,0.625,0.875
recalled,3,1,She's an old girlfriend of mine.,0.375,0.25,0.625
recalled,3,2,And I'm sponsoring her in a twelve-step program.,0.375,0.25,0.625
recalled,3,3,"Getting romantically involved is very taboo in a twelve-step program, especially among sponsors and sponsees.",0.25,0.25,0.375
recalled,3,4,But she came to visit me.,0.25,0.5,0.75
recalled,3,5,We hadn't seen each other face-to-face in years.,0.25,0.125,0.25
recalled,3,6,"When she showed up, we immediately started flirting.",0.625,0.375,0.875
recalled,3,7,We went out to eat that night.,0.25,0.375,0.625
recalled,3,8,She ended up staying the night.,0.625,0.125,0.625
recalled,3,9,We became romantically involved even though both of us sort of knew better.,0.625,0.125,0.625
recalled,3,10,But we've been doing great since.,0.25,0.125,0.25
recalled,3,11,We decided that we wanted to get closer.,0.25,0.375,0.5
recalled,3,12,"It was worth the risk, we both agreed.",0.125,0.0,0.125
recalled,3,13,"I must admit, the 'wrong' nature of what we did sort of made it more appealing.",0.125,0.0,0.125
recalled,3,14,I think she would agree with that.,0.125,0.0,0.125
retold,1,0,I am a recovering alcoholic and she is a recovering codependent.,0.5,0.0,0.5
retold,1,1,People of the same gender aren't supposed to sponsor one another in 12-Step programs.,0.375,0.125,0.375
retold,1,2,But I ended up sponsoring her.,0.75,0.125,0.875
retold,1,3,I helped her work the 12 Steps of Alcoholics Anonymous; she worked the Steps on her codependency.,0.125,0.375,0.5
retold,1,4,We kept things 'professional' and friendly for a few months.,0.125,0.375,0.5
retold,1,5,But being that close to someone and watching her grow and learn to be happy and care for herself made me sort of fall in love with her.,0.875,0.125,0.875
retold,1,6,I told her about my feelings and we started dating.,0.75,0.375,0.875
retold,1,7,The relationship was taboo in that it's very frowned upon to date a sponsee.,0.125,0.25,0.375
retold,1,8,It is also frowned upon to sponsor someone in a different 12-Step program.,0.125,0.25,0.375
retold,1,9,But we became romantically involved anyway.,0.25,0.125,0.25
retold,1,10,"It was very difficult to talk about this with anyone because we got very little support, as would be expected.",0.125,0.25,0.375
retold,1,11,But things are going well with us.,0.25,0.25,0.375
retold,1,12,We have more or less proved everyone wrong.,0.25,0.125,0.375
retold,1,13,"We are very happy, and, to be honest, we are one of the healthiest couples I know.",0.125,0.0,0.125
retold,1,14,"I have high hopes for us, and she does, too.",0.125,0.0,0.125
imagined,2,0,"Four months ago, I had a wild time going to a family wedding.",0.875,0.625,0.875
imagined,2,1,It has been the first time in a decade that we've been under the same roof.,0.375,0.375,0.625
imagined,2,2,I talked to mom and she said she has been doing well.,0.25,0.625,0.875
imagined,2,3,I talked to father and he told me he caught the biggest fish that week.,0.5,0.625,1.0
imagined,2,4,I talked to my sister and she has gotten a job in a big advertising firm.,0.5,0.375,0.875
imagined,2,5,I talked to my brother and he just graduated college with a job prospect.,0.5,0.375,0.875
imagined,2,6,My older brother is getting married to a rich tycoon woman.,0.75,0.25,0.875
imagined,2,7,He will be very happy with the mansion he is moving into.,0.375,0.125,0.5
imagined,2,8,I hope he doesn't get too greedy.,0.125,0.125,0.125
imagined,2,9,I hope his life will have meaning.,0.125,0.0,0.125
imagined,2,10,"At the party, I got a little too drunk.",0.375,0.375,0.75
imagined,2,11,I threw up on my older brother.,0.875,0.125,0.875
imagined,2,12,He got a little mad.,0.25,0.375,0.5
imagined,2,13,He forgave me.,0.25,0.375,0.625
imagined,2,14,We went home with many memories.,0.25,0.5,0.625
recalled,3,0,The event was my nephew Jimmy and Adriennes wedding.,0.625,0.5,0.75
recalled,3,1,It was a destination wedding.,0.375,0.125,0.5
recalled,3,2,I was not too far away.,0.125,0.0,0.125
recalled,3,3,We were able to drive there in 4 hours.,0.375,0.125,0.5
recalled,3,4,Quite a few guests did travel via airlines.,0.25,0.125,0.375
recalled,3,5,It was the first time in almost 10 years all my extended family was planning to get together.,0.75,0.25,0.75
recalled,3,6,I have an adult son 35 who lives in Dallas.,0.25,0.25,0.375
recalled,3,7,We don't get to see him a lot.,0.25,0.25,0.375
recalled,3,8,He brought  his serious girlfriend Cristal.,0.5,0.25,0.75
recalled,3,9,She was a lovely girl and it was great to meet her.,0.125,0.25,0.375
recalled,3,10,They are still together.,0.125,0.375,0.5
recalled,3,11,They recently moved in together.,0.5,0.5,0.75
recalled,3,12,My young daughter had a blast also.,0.125,0.5,0.625
recalled,3,13,The last time we all gathered she was very young.,0.125,0.25,0.375
recalled,3,14,This wedding was at a beautiful bed and breakfast.,0.25,0.125,0.375
recalled,3,15,The weather was gorgeous.,0.25,0.125,0.375
recalled,3,16,The most surprising thing was it hit me how old we all have gotten!,0.25,0.375,0.5
recalled,3,17,There were 4 generations of the family there.,0.0,0.375,0.375
retold,1,0,This was my nephew's wedding.,0.875,0.625,0.875
retold,1,1,Jimmy is roughly the same age as my son.,0.25,0.375,0.5
retold,1,2,They grew up together.,0.125,0.25,0.25
retold,1,3,We spent vacations visiting my folks and my brother  lived in the area.,0.375,0.375,0.625
